SAMPLE;PACKAGE;FRAME;STATUS;PLETH;ADDON;CHECKSUM
779;32;4;130;32249;45;37
780;32;5;130;32250;95;88
781;32;6;128;32309;0;51
782;32;7;128;32406;0;148
783;32;8;128;32520;0;7
784;32;9;128;32633;95;215
785;32;10;128;32733;95;59
786;32;11;128;32812;94;138
787;32;12;128;32862;0;94
788;32;13;128;32884;0;116
789;32;14;128;32880;0;112
790;32;15;128;32853;96;181
791;32;16;128;32808;95;135
792;32;17;128;32751;95;77
793;32;18;128;32686;0;173
794;32;19;128;32612;0;99
795;32;20;128;32532;0;19
796;32;21;128;32447;97;30
797;32;22;128;32363;0;105
798;32;23;128;32281;95;118
799;32;24;128;32204;0;201
800;32;25;128;32135;0;132
801;33;1;129;32077;0;75
802;33;2;128;32031;97;125
803;33;3;128;32006;95;98
804;33;4;128;32015;45;57
805;33;5;128;32081;95;173
806;33;6;128;32233;0;230
807;33;7;128;32493;0;235
808;33;8;128;32866;0;98
809;33;9;128;33330;95;147
810;33;10;128;33831;95;138
811;33;11;128;34298;94;93
812;33;12;128;34666;0;113
813;33;13;128;34889;0;81
814;33;14;128;34953;0;145
815;33;15;128;34874;96;162
816;33;16;128;34686;95;228
817;33;17;128;34427;95;224
818;33;18;130;34127;0;86
819;33;19;130;33810;0;24
820;33;20;130;33492;0;216
821;33;21;130;33179;97;255
822;33;22;130;32879;0;113
823;33;23;130;32607;95;191
824;33;24;130;32378;0;122
825;33;25;130;32210;0;209
826;34;1;131;32112;0;112
827;34;2;130;32088;97;184
828;34;3;128;32130;94;221
829;34;4;128;32222;45;8
830;34;5;128;32341;94;177
831;34;6;128;32465;0;207
832;34;7;128;32578;0;65
833;34;8;128;32664;0;151
834;34;9;128;32714;94;39
835;34;10;128;32728;94;53
836;34;11;128;32711;94;36
837;34;12;128;32671;0;158
838;34;13;128;32614;0;101
839;34;14;128;32547;0;34
840;34;15;128;32472;96;54
841;34;16;128;32393;95;230
842;34;17;128;32307;95;144
843;34;18;128;32221;0;218
844;34;19;128;32136;0;133
845;34;20;128;32056;0;53
846;34;21;128;31983;97;76
847;34;22;128;31918;0;170
848;34;23;128;31864;96;212
849;34;24;128;31823;0;75
850;34;25;128;31804;0;56
851;35;1;129;31817;0;70
852;35;2;128;31886;97;235
853;35;3;128;32040;94;131
854;35;4;128;32299;45;86
855;35;5;128;32667;94;248
856;35;6;128;33124;0;101
857;35;7;128;33618;0;85
858;35;8;128;34082;0;39
